step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
357,367866,714,0.01796061294712832,1.0,1.0,,,,,
358,368908,716,0.017929064851570985,1.0,1.0,,,,,
359,369934,718,0.01767433960324888,1.0,1.0,,,,,
360,370960,720,0.017735955798733036,1.0,1.0,,,,,
361,371986,722,0.017550872627223473,1.0,1.0,0.0176001121364784,1.0,1.0,,
362,373012,724,0.01762433394600729,1.0,1.0,,,,,
363,374038,726,0.017654147034645774,1.0,1.0,,,,,
364,375064,728,0.017628211819727426,1.0,1.0,,,,,
365,376090,730,0.017548162231062495,1.0,1.0,,,,,
366,377116,732,0.017704683306808945,1.0,1.0,,,,,
367,378142,734,0.017532662391712243,1.0,1.0,,,,,
368,379168,736,0.017514338345867922,1.0,1.0,,,,,
369,380194,738,0.01786481225526373,1.0,1.0,0.01752197077984009,1.0,1.0,,
370,381220,740,0.01750068252803503,1.0,1.0,,,,,
371,382246,742,0.01766384861807896,1.0,1.0,,,,,
372,383272,744,0.01748261404886709,1.0,1.0,,,,,
373,384298,746,0.01777147982526151,1.0,1.0,,,,,
374,385340,748,0.017369001634404427,1.0,1.0,,,,,
375,386366,750,0.017550598365442573,1.0,1.0,,,,,
376,387408,752,0.01733889392899827,1.0,1.0,,,,,
377,388434,754,0.017685842910239453,1.0,1.0,0.01735429093706973,1.0,1.0,,
378,389460,756,0.017491038678120182,1.0,1.0,,,,,
379,390502,758,0.017269532765249056,1.0,1.0,,,,,
380,391528,760,0.01750518132617004,1.0,1.0,,,,,
381,392554,762,0.017628026111619698,1.0,1.0,,,,,
382,393580,764,0.017679964729022012,1.0,1.0,,,,,
383,394606,766,0.017606610496945667,1.0,1.0,,,,,
384,395632,768,0.01748571062488184,1.0,1.0,,,,,
385,396658,770,0.019889465335014553,0.5,0.5,0.017659155837166884,1.0,1.0,,
386,397684,772,0.017600321869575847,1.0,1.0,,,,,
387,398710,774,0.018112034300635065,1.0,1.0,,,,,
388,399752,776,0.018147816201733603,1.0,1.0,,,,,
389,400778,778,0.018420403607914818,1.0,1.0,,,,,
390,401804,780,0.01859436166180479,1.0,1.0,,,,,
391,402830,782,0.018597568358727456,1.0,1.0,,,,,
392,403856,784,0.01857471710480851,1.0,1.0,,,,,
393,404898,786,0.018558301989629704,1.0,1.0,0.018125455714805755,1.0,1.0,,
394,405940,788,0.018128429319182758,1.0,1.0,,,,,
395,406966,790,0.018858222459939372,1.0,1.0,,,,,
396,407992,792,0.01798299318956472,1.0,1.0,,,,,
397,409034,794,0.01779539822697935,1.0,1.0,,,,,
398,410060,796,0.018847312429544856,1.0,1.0,,,,,
399,411086,798,0.018009585587097022,1.0,1.0,,,,,
400,412128,800,0.017740278397073508,1.0,1.0,,,,,
401,413154,802,0.017753155380022017,1.0,1.0,0.01756021521759742,1.0,1.0,,
402,414180,804,0.017786110431565517,1.0,1.0,,,,,
403,415206,806,0.01778050071562114,1.0,1.0,,,,,
404,416232,808,0.01785203453512474,1.0,1.0,,,,,
405,417258,810,0.017819905679509872,1.0,1.0,,,,,
406,418284,812,0.017805613242453087,1.0,1.0,,,,,
407,419326,814,0.017623115461799604,1.0,1.0,,,,,
408,420368,816,0.017507953018487878,1.0,1.0,,,,,
409,421410,818,0.017465265891767143,1.0,1.0,0.017605201381449755,1.0,1.0,,
410,422452,820,0.01760418927819563,1.0,1.0,,,,,
